"","ref_id","analysis_type","model_type","data_source","topics","country_list","species_list","reviewed_by","reviewed_date","general_application","specific_issue","paradigm","species_range"
"140","ISI000499848200003",NA,"{none}",NA,NA,NA,NA,"Ada Sanchez",2021-06-01 05:51:36,NA,NA,NA,NA
"141","ISI000345191600005",NA,"{none}",NA,NA,NA,NA,"Ada Sanchez",2021-06-01 05:54:47,NA,NA,NA,NA
"142","ISI000247396100001",NA,"{none}",NA,NA,NA,NA,"Ada Sanchez",2021-06-01 05:56:54,NA,NA,NA,NA
"143","ISI000230055800005",NA,"{none}",NA,NA,NA,NA,"Ada Sanchez",2021-06-01 06:00:58,NA,NA,NA,NA
"144","ISI000439400500017",NA,"{none}",NA,NA,NA,NA,"Ada Sanchez",2021-06-01 06:02:39,NA,NA,NA,NA
"145","ISI000305941300013",NA,"{none}",NA,NA,NA,NA,"Ada Sanchez",2021-06-01 06:03:32,NA,NA,NA,NA
"146","ISI000346425400014",NA,"{none}",NA,NA,NA,NA,"Ada Sanchez",2021-06-01 06:04:06,NA,NA,NA,NA
"147","ISI000374258900003",NA,"{""General Linear Model (GLM)""}",NA,"{Conservation}",NA,NA,"Ada Sanchez",2021-06-01 06:08:23,"{""Threats monitoring""}","{""Effect of conservation actions""}","{RSF}","{Native}"
"148","ISI000169881400012",NA,"{""Bioclimatic enveloped""}",NA,"{Ecology,Biodiversity}","{Global}",NA,"Ada Sanchez",2021-06-01 06:31:18,"{Macroecology,""Ecological communities""}","{""Latitudinal gradient in biodiversity"",""Beta diversity""}","{NM}","{Native}"
"149","ISI000407080100003",NA,"{""spatial point pattern""}",NA,"{Conservation}",NA,NA,"Ada Sanchez",2021-06-01 06:47:27,"{""Spatial prediction""}","{""Resource distribution""}","{NM}","{Native}"
"150","ISI000235693400012",NA,"{""Bayesian logistic regressions""}","{""Birds Australia"",""Bird surveys"",""Field data (evaluation)""}","{Ecology}",NA,NA,"JRFP",2021-06-04 04:29:04,"{""Relation with environmental variables""}","{""Variables affecting distribution""}","{RSF}","{Native}"
"151","ISI000340223500011",NA,"{""Zero Inflated Binomial - Generalized Additive Models (ZIB-GAM)"",""Generalized Additive Models (GAM)"",""Generalized Linear Models (GLM)""}","{""field survey"",""repeated visits""}",NA,NA,NA,"JRFP",2021-06-04 04:36:10,NA,"{""Variables affecting distribution"",""Interannual variability in distribution""}","{OM}","{Native}"
"152","ISI000367399900019",NA,"{""Single Season Occupancy Model (SS-OM)""}","{""field survey"",""repeated visits""}","{Ecology,Conservation}",NA,NA,"Ada Sanchez",2021-06-04 04:37:25,"{Biodiversity,""Co-occurence of parrot species"",""Spatial prediction"",""Relation with environmental variables""}","{""Co-occurrence of interacting species"",""Variables affecting distribution"",""Identification of priority areas for conservation""}","{OM}","{Native}"
"153","ISI000413319000011",NA,"{""spatial point pattern""}","{""field survey"",""single visit"",""playback census""}","{""Invasion ecology""}",NA,NA,"Ada Sanchez",2021-06-04 04:51:22,"{""Invasion effect""}","{""Impacts on native species""}","{geostatistics}","{Non-native}"
"154","ISI000208353800001",NA,"{""Maximum Entropy (MaxEnt)""}",NA,"{Conservation}",NA,NA,"JRFP",2021-09-15 04:38:51,"{""Threats monitoring""}","{""Change in distribution driven by habitat loss""}","{NM}","{Native}"
"155","ISI000448856300001",NA,"{""Maximum Entropy (MaxEnt)""}","{eBird}","{""Invasion ecology""}",NA,NA,"JRFP",2021-09-15 04:44:12,"{""Predictions of invasion risk""}","{""Potential range of invasive species""}","{NM}","{Non-native}"
"156","ISI000562466300006",NA,"{""Single Season Occupancy Model (SS-OM)""}","{""field work""}","{Ecology}",NA,NA,"JRFP",2021-09-15 04:48:29,"{""Relation with environmental variables""}","{""Determining areas for survey""}","{(OM)}","{Native}"
"157","ISI000517406000001",NA,"{""Ensemble model""}",NA,"{""Invasion ecology""}",NA,NA,"Ada Sanchez",2021-09-15 05:12:00,"{""Predictions of invasion risk"",""Invasion effect""}","{""Potential range of invasive species"",""Impacts on native species"",""Conflicts with human activities""}","{NM}","{Non-native}"
"158","ISI000518402000001","{""hypothesis test"",""spatial prediction""}","{""General Linear Model (GLM)"",""Maximum Entropy (MaxEnt)"",""Gradient Boosting Machine (GBM)"",""Random Forest (RF)""}","{""literature records"",""bird observation websites"",Naturalist,eBird,""Christmas Bird Count"",""Social Networks"",Facebook,Twitter,""image-hosting websites"",Flickr,YouTube}","{""Invasion ecology"",Evolution}","{""Native and non-native range""}","{""Agapornis canus"",""Agapornis fischeri"",""Agapornis taranta"",etc.}","JRFP",2021-09-17 05:01:58,"{""Predictions of invasion risk""}","{""Establishment of non-native species"",""niche shift"",""trade patterns""}","{NM}","{Native,Non-native}"
"159","ISI000384873700024",NA,"{""Maximum Entropy (MaxEnt)""}",NA,"{Ecology,Conservation}",NA,NA,"JRFP",2021-09-17 05:12:50,"{""Threats monitoring"",""Conservation issues"",""Relation with environmental variables""}","{""Identifying potential habitat"",""Coverage by Protected Areas"",""Change in distribution driven by habitat loss""}","{NM}","{Native}"
"160","ISI000501640800006",NA,"{""Ensemble model""}",NA,"{Conservation}",NA,NA,"Ada Sanchez",2021-09-17 09:44:01,"{""Climate change""}","{""Change in distribution driven by climate change""}","{NM}","{Native}"
